item,Titre,et,createur,AnneeCreation,image,coord 2
http://www.wikidata.org/entity/Q3067736,façade du palais de la porte Dorée,façade du palais de la porte Dorée-Alfred Janniot,Alfred Janniot,1929,,"48.835, 2.40916"
http://www.wikidata.org/entity/Q16354729,Faune aux enfants,Faune aux enfants-Yvonne Serruys,Yvonne Serruys,1911,http://commons.wikimedia.org/wiki/Special:FilePath/Place%20T10%20%28Paris%29%2003.jpg,"48.882805555, 2.362319444"
http://www.wikidata.org/entity/Q23448445,Femme assise,Femme assise-Jean Joachim,Jean Joachim,1960,,"48.8324, 2.3268"
http://www.wikidata.org/entity/Q18191134,Femme se regardant dans un miroir,Femme se regardant dans un miroir-Lajos György Mátrai,Lajos György Mátrai,,,"48.8488, 2.3343"
http://www.wikidata.org/entity/Q18191136,Ferdinand Fabre,Ferdinand Fabre-Laurent Marqueste,Laurent Marqueste,1880,http://commons.wikimedia.org/wiki/Special:FilePath/Ferdinand%20Fabre%20par%20Laurent%20Marqueste%2C%20Paris%202011.jpg,"48.8447, 2.3355"
http://www.wikidata.org/entity/Q3069759,Fers,Fers-Driss Sans-Arcidet,Driss Sans-Arcidet,2009,http://commons.wikimedia.org/wiki/Special:FilePath/Thomas%20Alexandre%20Dumas%20Slavery%20Memorial%20Paris.PNG,"48.8828, 2.31056"
http://www.wikidata.org/entity/Q3071557,Fiesole,Fiesole-Sorel Etrog,Sorel Etrog,1965,,"48.8484, 2.35917"
http://www.wikidata.org/entity/Q23448512,Figura,Figura-Joaquín García Donaire,Joaquín García Donaire,1972,,"48.8189, 2.3412"
http://www.wikidata.org/entity/Q23313044,Flamants roses,Flamants roses-Pierre Ségeron,Pierre Ségeron,,,"48.8384, 2.4424"
http://www.wikidata.org/entity/Q23593378,Flore,Flore-Louis Aimé Lejeune,Louis Aimé Lejeune,1937,,
http://www.wikidata.org/entity/Q23593400,Flore,Flore-Marcel Gimond,Marcel Gimond,1937,,
http://www.wikidata.org/entity/Q23313062,Fontaine,Fontaine-Louttre.B,Louttre.B,,,"48.838, 2.4434"
http://www.wikidata.org/entity/Q18146923,Fontaine aux roseaux d'argent,Fontaine aux roseaux d'argent-Brigitte Nahon,Brigitte Nahon,2000,http://commons.wikimedia.org/wiki/Special:FilePath/050903%20Paris%20040%20Cluny%20jardin%20roseto.JPG,"48.851, 2.344"
http://www.wikidata.org/entity/Q17347027,Fontaine Béla-Bartók,Fontaine Béla-Bartók-Jean-Yves Lechevallier,Jean-Yves Lechevallier,,http://commons.wikimedia.org/wiki/Special:FilePath/Cristaux.Jean%20Yves%20Lechevallier.jpg,"48.8511, 2.28556"
